"","idigbio.uuid","dwc.genus","dwc.specificEpithet","dwc.institutionCode","dwc.catalogNumber"
"1049","e63ce6da-04a6-43fe-9947-edfcddc6d706","Holothuria","glaberrima","FLMNH","11805-Echinodermata"
"1050","b45a394e-17b2-4de2-ad42-25475811fecc","Holothuria","glaberrima","MCZ","HOL-911"
"1051","48283df1-249e-486e-b58d-9efecb9706ee","Holothuria","glaberrima","MCZ","HOL-610"
"1052","a547b0de-a504-4100-8d93-d800a7e5b5b4","Holothuria","glaberrima","FLMNH","12690-Echinodermata"
"1053","22c923ff-9f97-497a-8a29-f81995d411d0","Holothuria","glaberrima","MCZ","HOL-607"
"1054","aad66fa1-8d2d-4544-93fc-914846cf39b5","Holothuria","glaberrima","MCZ","HOL-606"
"1055","92807320-d2a1-4101-90b2-48a2dd9e5270","Holothuria","glaberrima","FLMNH","5951-Echinodermata"
"1056","ca1c4fd2-34de-4280-a8bb-86db5643962f","Holothuria","glaberrima","FLMNH","12840-Echinodermata"
"1057","4e6c1710-4226-4aed-9115-1cab3bddf4db","Holothuria","glaberrima","MCZ","HOL-611"
"1058","e52e09ee-e03e-46df-9d77-bc6dddfacc8c","Holothuria","glaberrima","MCZ","HOL-1400"
"1059","745be10c-461e-41ea-9f30-d0a72d4d0a8f","Holothuria","glaberrima","FLMNH","454-Echinodermata"
"1060","4eb24f01-b748-4873-97fd-bbc4a0062188","Holothuria","glaberrima","MCZ","HOL-4121"
"1061","9726f252-4840-42f6-9fcc-e0a9df87fdef","Holothuria","glaberrima","FLMNH","12828-Echinodermata"
"1062","904a866a-79d1-496c-be63-e9db30ff4d40","Holothuria","glaberrima","MCZ","28868"
"1063","e5f4cf03-b6e4-4820-8ff9-c1b638ba4214","Holothuria","glaberrima","MCZ","HOL-1340"
"1064","3bc7bf47-b871-4cf3-b6fb-0704ce35d0fd","Holothuria","glaberrima","MCZ","HOL-608"
"1065","3971bfc4-c997-413d-b143-5db4489deb06","Holothuria","glaberrima","MCZ","HOL-609"
"1066","410077e0-e868-4d3e-81a8-c63e188b0480","Holothuria","glaberrima","MCZ","HOL-1476"
"1067","cfbee814-6747-4a20-83c7-0992bc4a2d87","Holothuria","glaberrima","MCZ","HOL-604"
"1068","59d60930-3a46-40e6-9c66-c671074b480e","Holothuria","glaberrima","MCZ","HOL-605"
"1069","18acb2c6-ac6c-4ce0-9d32-acf2e610f5e7","Holothuria","glaberrima","FLMNH","11806-Echinodermata"
"1070","3c3e87b6-82ac-4c9b-bcea-8f9d218ad60a","Holothuria","glaberrima","FLMNH","11804-Echinodermata"
"1071","61829cf3-45d6-478d-a8d0-0e66ecafc32e","Holothuria","glaberrima","MCZ","HOL-912"
"1072","17351934-fe07-45e3-821b-c3b5fe520223","Holothuria","glaberrima","MCZ","28866"
"1073","5bde692a-96e9-4ac4-90e4-12ef9e9cfe0b","Holothuria","glaberrima","FLMNH","10860-Echinodermata"
"1074","198b46d6-ecb6-453c-8236-ac2d0db0d0a3","Holothuria","glaberrima","MCZ","HOL-2155"
"1075","0bd1c653-38df-4dde-8c9d-440d9e0dc6c3","Holothuria","glaberrima","MCZ","HOL-1419"
"1076","98915bd4-a2f3-44b8-b4de-429469398176","Holothuria","glaberrima","FLMNH","11872-Echinodermata"
